Number_of_Travelers,Budget,Area_of_Interest,Warm,Transportation_Mode,Recommendation
6,28000,City,Moderate,Bikes,"Colombo City, Colombo"
2,80000,Forest,Tropical,Rosa Bus,"Dunhinda Falls, Badulla"
13,24000,National Park,Warm,Rosa Bus,"Yala National Park, Yala"
22,44000,Lakeside,Moderate,Rosa Bus,"Kandy Lake, Kandy"
4,19000,Mountains,Cool,Car,"Horton Plains National Park, Nuwara Eliya"
7,68000,Lakeside,Moderate,Bikes,"Bolgoda Lake, Colombo"
3,75000,National Park,Warm,Rosa Bus,"Udawalawe National Park, Udawalawe"
5,18000,Forest,Tropical,Public Transport,"Bopath Ella, Kuruwita"
7,160000,Mountains,Cool,Bikes,"Diyatalawa, Badulla"
8,25000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
10,15000,National Park,Warm,Van,"Kaudulla National Park, Polonnaruwa"
9,22000,Historical Site,Moderate,Public Transport,"Jetavanaramaya, Anuradhapura"
11,70000,City,Moderate,Public Transport,"Negombo City, Negombo"
18,48000,Beach,Warm,Public Transport,"Marble Beach, Trincomalee"
8,33000,City,Moderate,Public Transport,"Galle City, Galle"
24,48000,Beach,Warm,Bikes,"Marble Beach, Trincomalee"
7,33000,Mountains,Cool,Bikes,"Nine Arches Bridge, Ella"
23,40000,Lakeside,Moderate,Public Transport,"Madu River, Balapitiya"
16,90000,Beach,Warm,Bikes,"Arugam Bay, Ampara"
19,100000,City,Moderate,Rosa Bus,"Kurunegala City, Kurunegala"
19,38000,Forest,Tropical,Bikes,"Bopath Ella, Kuruwita"
15,200000,Lakeside,Moderate,Bikes,"Sorabora Wewa, Mahiyanganaya"
18,90000,Historical Site,Moderate,Bikes,"Dambulla Cave Temple, Dambulla"
3,24000,Forest,Tropical,Public Transport,"Kanneliya Forest Reserve, Galle"
23,33000,Mountains,Cool,Bikes,"Ravana Falls, Ella"
8,35000,Historical Site,Moderate,Van,"Aluvihare Rock Temple, Matale"
3,25000,Beach,Warm,Bikes,"Dickwella Beach, Dickwella"
13,20000,National Park,Warm,Bikes,"Hikkaduwa National Park, Hikkaduwa"
13,22000,Desert,Hot,Bikes,"Delft Island, Jaffna"
9,100000,Historical Site,Moderate,Public Transport,"Polonnaruwa, Polonnaruwa"
9,90000,Lakeside,Moderate,Rosa Bus,"Kala Wewa, Anuradhapura"
12,33000,Forest,Tropical,Rosa Bus,"Hiyare Reservoir, Galle"
24,140000,Historical Site,Moderate,Public Transport,"Galle Fort, Galle"
16,18000,Forest,Tropical,Rosa Bus,"Bopath Ella, Kuruwita"
5,10500,Mountains,Cool,Bikes,"Knuckles Mountain Range, Matale"
12,160000,City,Moderate,Rosa Bus,"Matara City, Matara"
8,10000,Forest,Tropical,Public Transport,"Kottawa Arboretum, Galle"
12,60000,City,Moderate,Van,"Badulla City, Badulla"
10,100000,City,Warm,Rosa Bus,"Trincomalee City, Trincomalee"
22,90000,Historical Site,Moderate,Rosa Bus,"Polonnaruwa, Polonnaruwa"
7,180000,Forest,Tropical,Bikes,"Dunhinda Falls, Badulla"
11,38000,Forest,Tropical,Van,"Kanneliya Forest Reserve, Galle"
17,35000,Forest,Tropical,Bikes,"Dunhinda Falls, Badulla"
14,18000,City,Moderate,Bikes,"Kurunegala City, Kurunegala"
17,60000,City,Moderate,Rosa Bus,"Kurunegala City, Kurunegala"
4,70000,National Park,Warm,Public Transport,"Yala National Park, Yala"
3,7500,National Park,Warm,Public Transport,"Wilpattu National Park, Wilpattu"
16,50000,National Park,Warm,Public Transport,"Wasgamuwa National Park, Wasgamuwa"
8,9000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
8,85000,Mountains,Cool,Rosa Bus,"Demodara Loop, Ella"
21,55000,City,Moderate,Rosa Bus,"Colombo City, Colombo"
11,130000,Lakeside,Moderate,Public Transport,"Kandy Lake, Kandy"
6,120000,City,Moderate,Van,"Badulla City, Badulla"
6,130000,City,Moderate,Bikes,"Matara City, Matara"
1,160000,National Park,Warm,Van,"Hikkaduwa National Park, Hikkaduwa"
2,3200,City,Warm,Bikes,"Trincomalee City, Trincomalee"
1,17000,Lakeside,Moderate,Public Transport,"Handapanagala Lake, Wellawaya"
19,170000,National Park,Warm,Public Transport,"Wasgamuwa National Park, Wasgamuwa"
1,2100,Historical Site,Moderate,Rosa Bus,"Polonnaruwa, Polonnaruwa"
3,58000,Forest,Tropical,Van,"Makandawa Forest Reserve, Kitulgala"
17,48000,National Park,Warm,Bikes,"Yala National Park, Yala"
1,140000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
4,55000,Mountains,Cool,Van,"Little Adam's Peak, Ella"
5,16000,Forest,Tropical,Public Transport,"Kottawa Arboretum, Galle"
12,50000,Beach,Warm,Bikes,"Hiriketiya Beach, Dickwella"
1,16000,Desert,Hot,Car,"Delft Island, Jaffna"
11,110000,Beach,Warm,Van,"Marble Beach, Trincomalee"
15,30000,Lakeside,Moderate,Rosa Bus,"Kala Wewa, Anuradhapura"
22,33000,Historical Site,Moderate,Bikes,"Anuradhapura, Anuradhapura"
9,18000,Forest,Tropical,Public Transport,"Dunhinda Falls, Badulla"
1,50000,Historical Site,Moderate,Car,"Anuradhapura, Anuradhapura"
3,3400,Desert,Hot,Bikes,"Delft Island, Jaffna"
10,70000,National Park,Warm,Bikes,"Gal Oya National Park, Ampara"
19,22000,Lakeside,Moderate,Bikes,"Handapanagala Lake, Wellawaya"
24,140000,National Park,Warm,Rosa Bus,"Yala National Park, Yala"
7,200000,National Park,Warm,Van,"Udawalawe National Park, Udawalawe"
9,80000,Mountains,Cool,Rosa Bus,"Hunas Falls, Kandy"
9,90000,Historical Site,Moderate,Van,"Sigiriya Rock Fortress, Sigiriya"
3,35000,City,Hot,Public Transport,"Jaffna City, Jaffna"
7,45000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
9,100000,City,Moderate,Van,"Colombo City, Colombo"
4,85000,Desert,Hot,Bikes,"Delft Island, Jaffna"
16,90000,Beach,Warm,Rosa Bus,"Uppuveli Beach, Trincomalee"
7,70000,Mountains,Warm,Van,"Pidurangala, Sigiriya"
1,1500,Lakeside,Moderate,Car,"Handapanagala Lake, Wellawaya"
16,40000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
8,130000,Desert,Hot,Bikes,"Delft Island, Jaffna"
19,28000,Lakeside,Moderate,Bikes,"Parakrama Samudra, Polonnaruwa"
19,170000,Beach,Warm,Bikes,"Arugam Bay, Ampara"
4,75000,Desert,Hot,Bikes,"Delft Island, Jaffna"
10,130000,Mountains,Cool,Rosa Bus,"Knuckles Mountain Range, Matale"
25,130000,Mountains,Cool,Rosa Bus,"Hunas Falls, Kandy"
18,48000,Forest,Tropical,Public Transport,"Kanneliya Forest Reserve, Galle"
19,44000,City,Moderate,Public Transport,"Kurunegala City, Kurunegala"
21,58000,City,Moderate,Public Transport,"Negombo City, Negombo"
18,48000,Forest,Tropical,Bikes,"Meemure, Kandy"
12,150000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
25,85000,Lakeside,Moderate,Rosa Bus,"Parakrama Samudra, Polonnaruwa"
12,38000,Lakeside,Moderate,Rosa Bus,"Handapanagala Lake, Wellawaya"
11,90000,Mountains,Cool,Public Transport,"Baker's Falls, Horton Plains"
16,180000,Forest,Tropical,Bikes,"Kottawa Arboretum, Galle"
7,170000,National Park,Warm,Rosa Bus,"Udawalawe National Park, Udawalawe"
14,75000,Mountains,Cool,Bikes,"Devon Falls, Nuwara Eliya"
21,30000,Desert,Hot,Bikes,"Delft Island, Jaffna"
1,18000,Historical Site,Moderate,Van,"Kuttam Pokuna, Anuradhapura"
4,45000,Beach,Warm,Rosa Bus,"Negombo Beach, Negombo"
17,120000,City,Moderate,Public Transport,"Galle City, Galle"
3,15000,City,Moderate,Bikes,"Colombo City, Colombo"
7,130000,Lakeside,Moderate,Van,"Kala Wewa, Anuradhapura"
22,180000,National Park,Warm,Bikes,"Wilpattu National Park, Wilpattu"
1,160000,National Park,Warm,Van,"Udawalawe National Park, Udawalawe"
2,2200,Forest,Tropical,Bikes,"Hiyare Reservoir, Galle"
14,60000,Historical Site,Moderate,Rosa Bus,"Dambulla Cave Temple, Dambulla"
10,170000,Forest,Tropical,Van,"Badulla Forest, Badulla"
21,120000,Lakeside,Moderate,Rosa Bus,"Victoria Reservoir, Kandy"
25,200000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
2,11000,National Park,Warm,Van,"Kaudulla National Park, Polonnaruwa"
13,38000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
1,58000,Forest,Tropical,Public Transport,"Meemure, Kandy"
16,40000,Lakeside,Moderate,Rosa Bus,"Bolgoda Lake, Colombo"
1,1400,Mountains,Cool,Bikes,"Lipton�s Seat, Haputale"
9,20000,Lakeside,Moderate,Rosa Bus,"Beira Lake, Colombo"
9,200000,National Park,Warm,Public Transport,"Kaudulla National Park, Polonnaruwa"
13,140000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
13,33000,City,Hot,Rosa Bus,"Jaffna City, Jaffna"
5,58000,National Park,Warm,Bikes,"Kaudulla National Park, Polonnaruwa"
5,38000,Mountains,Warm,Rosa Bus,"Ritigala, Ritigala"
9,190000,Forest,Tropical,Van,"Makandawa Forest Reserve, Kitulgala"
13,140000,Desert,Hot,Bikes,"Delft Island, Jaffna"
19,70000,National Park,Warm,Public Transport,"Wilpattu National Park, Wilpattu"
19,33000,Mountains,Cool,Bikes,"Lipton�s Seat, Haputale"
11,44000,Mountains,Cool,Public Transport,"Devon Falls, Nuwara Eliya"
1,12000,Mountains,Cool,Public Transport,"Adam's Peak, Hatton"
16,190000,Lakeside,Moderate,Rosa Bus,"Bolgoda Lake, Colombo"
2,6000,City,Moderate,Public Transport,"Colombo City, Colombo"
1,44000,Historical Site,Moderate,Rosa Bus,"Sigiriya Rock Fortress, Sigiriya"
21,33000,Mountains,Cool,Bikes,"Ella Rock, Ella"
18,65000,City,Moderate,Rosa Bus,"Galle City, Galle"
2,160000,Beach,Warm,Bikes,"Trincomalee Beach, Trincomalee"
4,48000,National Park,Cool,Public Transport,"Galway�s Land National Park, Nuwara Eliya"
8,110000,Historical Site,Moderate,Public Transport,"Manavari Temple, Chilaw"
2,2300,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
25,150000,City,Moderate,Rosa Bus,"Badulla City, Badulla"
3,12000,National Park,Warm,Van,"Wilpattu National Park, Wilpattu"
2,80000,Historical Site,Moderate,Car,"Kuttam Pokuna, Anuradhapura"
8,16000,Forest,Tropical,Van,"Badulla Forest, Badulla"
12,24000,Desert,Hot,Van,"Delft Island, Jaffna"
24,130000,Lakeside,Moderate,Bikes,"Kala Wewa, Anuradhapura"
20,130000,Forest,Tropical,Public Transport,"Meemure, Kandy"
2,12000,Historical Site,Moderate,Car,"Thuparamaya, Anuradhapura"
2,200000,Mountains,Cool,Public Transport,"Demodara Loop, Ella"
11,30000,Beach,Warm,Rosa Bus,"Beruwala Beach, Beruwala"
21,55000,National Park,Warm,Bikes,"Kaudulla National Park, Polonnaruwa"
16,180000,City,Moderate,Rosa Bus,"Galle City, Galle"
23,200000,National Park,Warm,Bikes,"Wilpattu National Park, Wilpattu"
8,22000,City,Cool,Public Transport,"Nuwara Eliya City, Nuwara Eliya"
21,65000,Historical Site,Moderate,Public Transport,"Polonnaruwa, Polonnaruwa"
24,75000,National Park,Cool,Bikes,"Galway�s Land National Park, Nuwara Eliya"
14,25000,Beach,Warm,Bikes,"Hikkaduwa Beach, Hikkaduwa"
21,45000,Beach,Warm,Public Transport,"Negombo Beach, Negombo"
18,70000,Forest,Tropical,Rosa Bus,"Meemure, Kandy"
3,3000,Desert,Hot,Car,"Delft Island, Jaffna"
9,75000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
17,48000,Forest,Tropical,Public Transport,"Hiyare Reservoir, Galle"
10,40000,National Park,Warm,Van,"Gal Oya National Park, Ampara"
5,14000,Lakeside,Moderate,Car,"Koggala Lake, Koggala"
24,70000,Beach,Warm,Bikes,"Unawatuna Beach, Galle"
23,150000,City,Moderate,Bikes,"Badulla City, Badulla"
13,22000,City,Warm,Bikes,"Trincomalee City, Trincomalee"
19,160000,Mountains,Cool,Bikes,"Nine Arches Bridge, Ella"
5,80000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
16,150000,Historical Site,Moderate,Bikes,"Dambulla Cave Temple, Dambulla"
7,40000,Forest,Tropical,Public Transport,"Sinharaja Forest Reserve, Deniyaya"
1,22000,Beach,Warm,Public Transport,"Tangalle Beach, Tangalle"
6,200000,City,Hot,Public Transport,"Jaffna City, Jaffna"
13,180000,Desert,Hot,Bikes,"Delft Island, Jaffna"
7,13000,Historical Site,Moderate,Bikes,"Polonnaruwa, Polonnaruwa"
8,150000,Mountains,Warm,Public Transport,"Ritigala, Ritigala"
3,18000,National Park,Warm,Rosa Bus,"Kaudulla National Park, Polonnaruwa"
5,40000,Forest,Tropical,Rosa Bus,"Meemure, Kandy"
19,90000,Mountains,Cool,Rosa Bus,"Knuckles Mountain Range, Matale"
1,13000,National Park,Warm,Car,"Wasgamuwa National Park, Wasgamuwa"
7,28000,Beach,Warm,Public Transport,"Mount Lavinia Beach, Mount Lavinia"
8,120000,City,Moderate,Bikes,"Colombo City, Colombo"
25,90000,National Park,Warm,Public Transport,"Hikkaduwa National Park, Hikkaduwa"
1,15000,National Park,Warm,Car,"Hikkaduwa National Park, Hikkaduwa"
10,19000,City,Moderate,Rosa Bus,"Galle City, Galle"
9,50000,Historical Site,Cool,Van,"Seetha Amman Temple, Nuwara Eliya"
2,2900,Forest,Tropical,Car,"Makandawa Forest Reserve, Kitulgala"
1,44000,Lakeside,Moderate,Public Transport,"Koggala Lake, Koggala"
18,35000,Historical Site,Moderate,Public Transport,"Mihintale, Mihintale"
14,44000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
16,190000,City,Moderate,Bikes,"Galle City, Galle"
5,150000,Lakeside,Moderate,Rosa Bus,"Kandy Lake, Kandy"
13,18000,Mountains,Cool,Rosa Bus,"Diyatalawa, Badulla"
18,85000,Beach,Warm,Public Transport,"Hiriketiya Beach, Dickwella"
15,58000,Historical Site,Moderate,Bikes,"Polonnaruwa, Polonnaruwa"
9,20000,Desert,Hot,Bikes,"Delft Island, Jaffna"
9,11000,Lakeside,Moderate,Van,"Kala Wewa, Anuradhapura"
21,38000,Forest,Tropical,Public Transport,"Meemure, Kandy"
16,65000,Forest,Tropical,Public Transport,"Sinharaja Forest Reserve, Deniyaya"
16,150000,City,Moderate,Rosa Bus,"Negombo City, Negombo"
8,40000,Historical Site,Moderate,Bikes,"Thuparamaya, Anuradhapura"
9,38000,Lakeside,Moderate,Rosa Bus,"Koggala Lake, Koggala"
19,80000,National Park,Warm,Rosa Bus,"Hikkaduwa National Park, Hikkaduwa"
2,3300,City,Moderate,Van,"Negombo City, Negombo"
1,40000,Lakeside,Moderate,Rosa Bus,"Victoria Reservoir, Kandy"
25,90000,Lakeside,Moderate,Public Transport,"Kala Wewa, Anuradhapura"
2,48000,Historical Site,Moderate,Rosa Bus,"Anuradhapura, Anuradhapura"
1,50000,City,Moderate,Public Transport,"Kurunegala City, Kurunegala"
16,70000,City,Warm,Rosa Bus,"Trincomalee City, Trincomalee"
15,44000,Mountains,Cool,Rosa Bus,"Thotupola Kanda, Nuwara Eliya"
12,48000,Beach,Warm,Bikes,"Uppuveli Beach, Trincomalee"
6,160000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
25,100000,Historical Site,Moderate,Rosa Bus,"Dambulla Cave Temple, Dambulla"
1,38000,City,Moderate,Van,"Negombo City, Negombo"
4,25000,Historical Site,Moderate,Public Transport,"Mihintale, Mihintale"
25,140000,National Park,Warm,Public Transport,"Wilpattu National Park, Wilpattu"
20,24000,Desert,Hot,Bikes,"Delft Island, Jaffna"
6,190000,City,Moderate,Van,"Ratnapura City, Ratnapura"
9,13000,Mountains,Cool,Bikes,"Knuckles Mountain Range, Matale"
1,2600,National Park,Warm,Van,"Gal Oya National Park, Ampara"
13,68000,City,Moderate,Rosa Bus,"Negombo City, Negombo"
7,150000,Forest,Tropical,Rosa Bus,"Kottawa Arboretum, Galle"
1,1600,City,Moderate,Bikes,"Ratnapura City, Ratnapura"
24,68000,City,Warm,Bikes,"Trincomalee City, Trincomalee"
21,90000,Beach,Warm,Bikes,"Jungle Beach, Unawatuna"
25,90000,Lakeside,Moderate,Public Transport,"Kandy Lake, Kandy"
21,90000,Beach,Warm,Rosa Bus,"Negombo Beach, Negombo"
17,58000,City,Moderate,Public Transport,"Badulla City, Badulla"
15,44000,Historical Site,Cool,Rosa Bus,"Seetha Amman Temple, Nuwara Eliya"
17,65000,Forest,Tropical,Rosa Bus,"Sinharaja Forest Reserve, Deniyaya"
18,160000,National Park,Warm,Bikes,"Hikkaduwa National Park, Hikkaduwa"
16,18000,Lakeside,Moderate,Public Transport,"Handapanagala Lake, Wellawaya"
25,38000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
15,70000,Lakeside,Moderate,Rosa Bus,"Victoria Reservoir, Kandy"
9,48000,City,Moderate,Van,"Kandy City, Kandy"
13,50000,Forest,Tropical,Bikes,"Makandawa Forest Reserve, Kitulgala"
18,68000,Mountains,Cool,Rosa Bus,"Lipton�s Seat, Haputale"
14,200000,City,Moderate,Rosa Bus,"Negombo City, Negombo"
17,200000,Mountains,Cool,Bikes,"Thotupola Kanda, Nuwara Eliya"
4,9000,National Park,Warm,Van,"Hikkaduwa National Park, Hikkaduwa"
21,55000,City,Moderate,Bikes,"Badulla City, Badulla"
19,70000,Historical Site,Moderate,Rosa Bus,"Kuttam Pokuna, Anuradhapura"
2,33000,Forest,Tropical,Public Transport,"Hiyare Reservoir, Galle"
23,50000,City,Moderate,Public Transport,"Matara City, Matara"
20,55000,Beach,Warm,Rosa Bus,"Polhena Beach, Matara"
22,55000,National Park,Warm,Bikes,"Wasgamuwa National Park, Wasgamuwa"
1,60000,Lakeside,Moderate,Car,"Victoria Reservoir, Kandy"
11,68000,Historical Site,Moderate,Van,"Galle Fort, Galle"
1,80000,National Park,Warm,Car,"Wilpattu National Park, Wilpattu"
5,75000,Historical Site,Moderate,Rosa Bus,"Anuradhapura, Anuradhapura"
24,44000,Forest,Tropical,Bikes,"Sinharaja Forest Reserve, Deniyaya"
7,68000,Mountains,Warm,Van,"Pidurangala, Sigiriya"
12,60000,National Park,Cool,Bikes,"Galway�s Land National Park, Nuwara Eliya"
22,45000,City,Warm,Rosa Bus,"Trincomalee City, Trincomalee"
2,7000,City,Moderate,Public Transport,"Ratnapura City, Ratnapura"
22,65000,Mountains,Cool,Rosa Bus,"Demodara Loop, Ella"
18,85000,National Park,Warm,Bikes,"Yala National Park, Yala"
17,24000,Forest,Tropical,Public Transport,"Sinharaja Forest Reserve, Deniyaya"
4,6000,Mountains,Warm,Car,"Ritigala, Ritigala"
4,90000,National Park,Warm,Rosa Bus,"Hikkaduwa National Park, Hikkaduwa"
5,14000,Beach,Warm,Rosa Bus,"Hikkaduwa Beach, Hikkaduwa"
7,50000,Historical Site,Moderate,Van,"Polonnaruwa, Polonnaruwa"
17,44000,Historical Site,Moderate,Bikes,"Manavari Temple, Chilaw"
2,65000,Mountains,Cool,Car,"Ravana Falls, Ella"
5,68000,Beach,Warm,Bikes,"Unawatuna Beach, Galle"
15,55000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
7,38000,Lakeside,Moderate,Van,"Parakrama Samudra, Polonnaruwa"
8,160000,Historical Site,Moderate,Rosa Bus,"Thuparamaya, Anuradhapura"
13,68000,Beach,Warm,Bikes,"Passekudah Beach, Passekudah"
16,80000,City,Moderate,Public Transport,"Colombo City, Colombo"
2,28000,Beach,Warm,Car,"Mount Lavinia Beach, Mount Lavinia"
6,10500,National Park,Warm,Bikes,"Kaudulla National Park, Polonnaruwa"
12,200000,Historical Site,Moderate,Public Transport,"Mihintale, Mihintale"
18,85000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
4,110000,Historical Site,Moderate,Bikes,"Galle Fort, Galle"
17,60000,Historical Site,Moderate,Rosa Bus,"Dambulla Cave Temple, Dambulla"
1,10500,Mountains,Cool,Bikes,"Demodara Loop, Ella"
16,120000,City,Moderate,Rosa Bus,"Ratnapura City, Ratnapura"
15,40000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
2,65000,City,Moderate,Car,"Ratnapura City, Ratnapura"
9,24000,Mountains,Cool,Bikes,"Demodara Loop, Ella"
3,90000,Historical Site,Moderate,Rosa Bus,"Jetavanaramaya, Anuradhapura"
19,25000,Historical Site,Moderate,Bikes,"Manavari Temple, Chilaw"
13,70000,Lakeside,Moderate,Bikes,"Handapanagala Lake, Wellawaya"
1,150000,Lakeside,Moderate,Car,"Victoria Reservoir, Kandy"
18,48000,National Park,Cool,Bikes,"Galway�s Land National Park, Nuwara Eliya"
9,85000,Forest,Tropical,Van,"Bopath Ella, Kuruwita"
15,35000,Forest,Tropical,Public Transport,"Dunhinda Falls, Badulla"
19,28000,Beach,Warm,Bikes,"Polhena Beach, Matara"
7,35000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
17,170000,Beach,Warm,Bikes,"Hiriketiya Beach, Dickwella"
2,3400,Desert,Hot,Car,"Delft Island, Jaffna"
8,180000,Beach,Warm,Van,"Mount Lavinia Beach, Mount Lavinia"
23,50000,Lakeside,Moderate,Public Transport,"Kandy Lake, Kandy"
25,170000,National Park,Warm,Rosa Bus,"Wilpattu National Park, Wilpattu"
3,45000,Lakeside,Moderate,Bikes,"Victoria Reservoir, Kandy"
2,2800,Mountains,Cool,Car,"Demodara Loop, Ella"
12,100000,National Park,Warm,Rosa Bus,"Udawalawe National Park, Udawalawe"
11,25000,City,Moderate,Bikes,"Negombo City, Negombo"
22,55000,Mountains,Cool,Public Transport,"Ravana Falls, Ella"
9,58000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
9,200000,Historical Site,Moderate,Van,"Dambulla Cave Temple, Dambulla"
1,70000,Mountains,Cool,Van,"Knuckles Mountain Range, Matale"
5,7500,Desert,Hot,Public Transport,"Delft Island, Jaffna"
1,2900,Forest,Tropical,Car,"Kanneliya Forest Reserve, Galle"
4,75000,Forest,Tropical,Rosa Bus,"Hiyare Reservoir, Galle"
4,120000,National Park,Cool,Van,"Galway�s Land National Park, Nuwara Eliya"
22,100000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
9,40000,Beach,Warm,Rosa Bus,"Tangalle Beach, Tangalle"
16,55000,Historical Site,Moderate,Bikes,"Thuparamaya, Anuradhapura"
19,25000,Historical Site,Moderate,Rosa Bus,"Manavari Temple, Chilaw"
15,45000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
9,48000,Desert,Hot,Bikes,"Delft Island, Jaffna"
21,30000,Mountains,Cool,Public Transport,"Knuckles Mountain Range, Matale"
24,190000,City,Moderate,Rosa Bus,"Kurunegala City, Kurunegala"
13,90000,Beach,Warm,Public Transport,"Passekudah Beach, Passekudah"
12,13000,Desert,Hot,Bikes,"Delft Island, Jaffna"
10,16000,Lakeside,Moderate,Van,"Handapanagala Lake, Wellawaya"
12,200000,Historical Site,Moderate,Rosa Bus,"Kuttam Pokuna, Anuradhapura"
2,2700,Desert,Hot,Car,"Delft Island, Jaffna"
1,10500,Beach,Warm,Car,"Jungle Beach, Unawatuna"
2,7500,Desert,Hot,Van,"Delft Island, Jaffna"
4,40000,Beach,Warm,Rosa Bus,"Hiriketiya Beach, Dickwella"
13,120000,City,Hot,Public Transport,"Jaffna City, Jaffna"
21,150000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
1,180000,City,Warm,Public Transport,"Trincomalee City, Trincomalee"
14,85000,National Park,Warm,Rosa Bus,"Yala National Park, Yala"
16,18000,Forest,Tropical,Bikes,"Hiyare Reservoir, Galle"
12,130000,Forest,Tropical,Van,"Dunhinda Falls, Badulla"
17,120000,City,Moderate,Rosa Bus,"Galle City, Galle"
12,140000,Lakeside,Moderate,Van,"Victoria Reservoir, Kandy"
25,150000,Lakeside,Moderate,Rosa Bus,"Koggala Lake, Koggala"
7,44000,Lakeside,Moderate,Rosa Bus,"Victoria Reservoir, Kandy"
5,9000,Lakeside,Moderate,Rosa Bus,"Kala Wewa, Anuradhapura"
24,35000,Beach,Warm,Rosa Bus,"Polhena Beach, Matara"
10,68000,Historical Site,Cool,Public Transport,"Seetha Amman Temple, Nuwara Eliya"
22,130000,Historical Site,Moderate,Rosa Bus,"Dambulla Cave Temple, Dambulla"
5,200000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
22,130000,Historical Site,Moderate,Rosa Bus,"Jetavanaramaya, Anuradhapura"
7,20000,Forest,Tropical,Public Transport,"Sinharaja Forest Reserve, Deniyaya"
18,80000,Beach,Warm,Bikes,"Rekawa Beach, Hambantota"
12,55000,Beach,Warm,Public Transport,"Tangalle Beach, Tangalle"
7,140000,Beach,Warm,Public Transport,"Jungle Beach, Unawatuna"
6,140000,Mountains,Cool,Rosa Bus,"Little Adam's Peak, Ella"
1,2500,Beach,Warm,Public Transport,"Dickwella Beach, Dickwella"
20,75000,Beach,Warm,Public Transport,"Jungle Beach, Unawatuna"
15,35000,Forest,Tropical,Rosa Bus,"Badulla Forest, Badulla"
25,55000,Historical Site,Moderate,Rosa Bus,"Anuradhapura, Anuradhapura"
7,12000,Lakeside,Moderate,Van,"Madu River, Balapitiya"
5,17000,Historical Site,Moderate,Rosa Bus,"Dambulla Cave Temple, Dambulla"
7,140000,Forest,Tropical,Public Transport,"Bopath Ella, Kuruwita"
20,110000,Lakeside,Moderate,Rosa Bus,"Victoria Reservoir, Kandy"
5,190000,City,Moderate,Bikes,"Ratnapura City, Ratnapura"
17,65000,Mountains,Cool,Rosa Bus,"Ella Rock, Ella"
25,80000,Lakeside,Moderate,Public Transport,"Victoria Reservoir, Kandy"
1,13000,National Park,Cool,Rosa Bus,"Galway�s Land National Park, Nuwara Eliya"
3,50000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
20,140000,Forest,Tropical,Rosa Bus,"Dunhinda Falls, Badulla"
18,50000,Beach,Warm,Bikes,"Arugam Bay, Ampara"
6,40000,Beach,Warm,Rosa Bus,"Tangalle Beach, Tangalle"
20,200000,Historical Site,Moderate,Rosa Bus,"Thuparamaya, Anuradhapura"
3,45000,Beach,Warm,Rosa Bus,"Mount Lavinia Beach, Mount Lavinia"
6,80000,Beach,Warm,Rosa Bus,"Jungle Beach, Unawatuna"
14,24000,Forest,Tropical,Bikes,"Makandawa Forest Reserve, Kitulgala"
14,85000,Mountains,Cool,Rosa Bus,"Kirigalpotta, Nuwara Eliya"
21,38000,Mountains,Warm,Bikes,"Ritigala, Ritigala"
2,4000,National Park,Warm,Public Transport,"Wasgamuwa National Park, Wasgamuwa"
12,20000,National Park,Cool,Rosa Bus,"Galway�s Land National Park, Nuwara Eliya"
3,16000,Beach,Warm,Car,"Polhena Beach, Matara"
2,18000,Mountains,Cool,Public Transport,"Little Adam's Peak, Ella"
2,120000,Historical Site,Moderate,Rosa Bus,"Sigiriya Rock Fortress, Sigiriya"
17,30000,National Park,Cool,Bikes,"Galway�s Land National Park, Nuwara Eliya"
11,33000,Lakeside,Moderate,Public Transport,"Bolgoda Lake, Colombo"
7,130000,Beach,Warm,Public Transport,"Nilaveli Beach, Trincomalee"
6,140000,City,Warm,Public Transport,"Trincomalee City, Trincomalee"
13,30000,City,Moderate,Bikes,"Kandy City, Kandy"
5,19000,Forest,Tropical,Rosa Bus,"Badulla Forest, Badulla"
7,40000,Mountains,Cool,Bikes,"Horton Plains National Park, Nuwara Eliya"
2,2900,Historical Site,Moderate,Car,"Kuttam Pokuna, Anuradhapura"
