Area of Interest,Origin,Destination,Preferred Climate,Number of Travelers,Budget (in LKR),Preferred Accommodation,Trip Duration (days),District
Beach,Kandy,"Trincomalee Beach, Trincomalee",Warm,16,72000,cottage,3,Trincomalee
Lakeside,Gampaha,"Nuwara Wewa, Anuradhapura",Moderate,9,21000,villa,2,Anuradhapura
Forest,Puttalam,"Sinharaja Forest Reserve, Deniyaya",Tropical,1,3000,guest houses,3,Matara
Wildlife,Hambantota,"Kumana National Park, Ampara",Warm,10,73000,other,9,Ampara
Lakeside,Mannar,"Handapanagala Lake, Wellawaya",Moderate,21,66000,villa,3,Monaragala
Historical,Trincomalee,"Anuradhapura Sacred City, Anuradhapura",Warm,9,43000,2-star hotel,5,Anuradhapura
Beach,Anuradhapura,"Unawatuna Beach, Galle",Warm,21,172000,2-star hotel,8,Galle
Mountains,Puttalam,"Ella Rock, Ella",Cool,12,124000,villa,9,Badulla
Forest,Ampara,"Kithulgala Forest Reserve, Kegalle",Tropical,13,57000,other,7,Kegalle
Beach,Mullaitivu,"Polhena Beach, Matara",Warm,22,133000,other,9,Matara
Cultural,Ratnapura,"Anuradhapura Sacred City, Anuradhapura",Warm,17,65000,2-star hotel,4,Anuradhapura
Beach,Colombo,"Hikkaduwa Beach, Hikkaduwa",Warm,1,7000,3-star hotel,5,Galle
Beach,Anuradhapura,"Nilaveli Beach, Trincomalee",Warm,22,25000,2-star hotel,1,Trincomalee
Forest,Colombo,"Bopath Ella, Kuruwita",Tropical,8,38000,other,9,Ratnapura
Mountains,Trincomalee,"Ella Rock, Ella",Cool,18,83000,3-star hotel,4,Badulla
Wildlife,Kegalle,"Kaudulla National Park, Polonnaruwa",Warm,3,25000,4-star hotel,4,Polonnaruwa
Wildlife,Monaragala,"Minneriya National Park, Polonnaruwa",Warm,8,131000,4-star hotel,8,Polonnaruwa
Wildlife,Matara,"Bundala National Park, Hambantota",Warm,4,8000,guest houses,2,Hambantota
Lakeside,Ratnapura,"Tissa Wewa, Tissamaharama",Moderate,14,38000,camping,7,Hambantota
Wildlife,Matara,"Pigeon Island National Park, Trincomalee",Warm,10,69000,other,8,Trincomalee
Lakeside,Matale,"Kala Wewa, Anuradhapura",Moderate,7,8000,villa,1,Anuradhapura
Beach,Kurunegala,"Jungle Beach, Unawatuna",Warm,13,60000,other,6,Galle
Beach,Trincomalee,"Hikkaduwa Beach, Hikkaduwa",Warm,13,94000,5-star hotel,3,Galle
Historical,Colombo,"Ambuluwawa Temple, Gampola",Moderate,19,178000,villa,7,Kandy
Mountains,Anuradhapura,"Kabaragala, Nawalapitiya",Cool,4,10000,camping,6,Nuwara Eliya
Historical,Badulla,"Ambuluwawa Temple, Gampola",Moderate,20,116000,cottage,5,Kandy
Mountains,Polonnaruwa,"Ravana Falls, Ella",Cool,14,29000,5-star hotel,1,Badulla
Cultural,Nuwara Eliya,"Kataragama Temple, Kataragama",Warm,7,28000,other,6,Hambantota
Lakeside,Vavuniya,"Madu River, Balapitiya",Moderate,17,97000,villa,4,Galle
Mountains,Ratnapura,"Horton Plains National Park, Nuwara Eliya",Cool,1,10000,5-star hotel,4,Nuwara Eliya
Cultural,Kandy,"Anuradhapura Sacred City, Anuradhapura",Warm,21,151000,5-star hotel,3,Anuradhapura
Beach,Kilinochchi,"Negombo Beach, Negombo",Warm,15,40000,villa,2,Gampaha
Beach,Jaffna,"Mirissa Beach, Mirissa",Warm,3,28000,guest houses,9,Matara
Historical,Badulla,"Anuradhapura Sacred City, Anuradhapura",Warm,24,461000,5-star hotel,8,Anuradhapura
Beach,Batticaloa,"Marble Beach, Trincomalee",Warm,20,87000,4-star hotel,2,Trincomalee
Beach,Monaragala,"Nilaveli Beach, Trincomalee",Warm,19,22000,guest houses,1,Trincomalee
Lakeside,Nuwara Eliya,"Kandy Lake, Kandy",Moderate,1,3000,camping,6,Kandy
Wildlife,Badulla,"Hurulu Eco Park, Polonnaruwa",Warm,14,20000,villa,1,Polonnaruwa
Lakeside,Matale,"Gal Oya, Ampara",Moderate,20,8000,camping,1,Ampara
Mountains,Kegalle,"Knuckles Mountain Range, Kandy",Cool,23,77000,2-star hotel,4,Kandy
Forest,Ampara,"Yagirala Forest Reserve, Kalutara",Tropical,11,17000,camping,4,Kalutara
Cultural,Monaragala,"Gangaramaya Temple, Colombo",Warm,15,75000,3-star hotel,4,Colombo
Historical,Batticaloa,"Lovamahapaya, Anuradhapura",Warm,3,13000,3-star hotel,3,Anuradhapura
Beach,Kegalle,"Jungle Beach, Unawatuna",Warm,5,20000,cottage,3,Galle
Historical,Ratnapura,"Kataragama Temple, Kataragama",Warm,19,115000,other,9,Hambantota
Lakeside,Colombo,"Kandy Lake, Kandy",Moderate,21,183000,cottage,7,Kandy
Lakeside,Kurunegala,"Handapanagala Lake, Wellawaya",Moderate,20,169000,4-star hotel,6,Monaragala
Mountains,Galle,"Thotupola Kanda, Nuwara Eliya",Cool,20,10000,camping,1,Nuwara Eliya
Wildlife,Kandy,"Udawalawe National Park, Ratnapura",Warm,16,123000,4-star hotel,4,Ratnapura
Forest,Kalutara,"Sinharaja Forest Reserve, Deniyaya",Tropical,14,168000,villa,9,Matara
Lakeside,Nuwara Eliya,"Sorabora Wewa, Mahiyanganaya",Moderate,20,40000,cottage,2,Badulla
Wildlife,Matara,"Udawalawe National Park, Ratnapura",Warm,19,91000,guest houses,5,Ratnapura
Historical,Ampara,"Sri Maha Bodhi, Anuradhapura",Warm,5,86000,4-star hotel,9,Anuradhapura
Lakeside,Anuradhapura,"Koggala Lake, Koggala",Moderate,16,40000,3-star hotel,2,Galle
Historical,Matara,"Temple of the Tooth, Kandy",Moderate,11,39000,camping,8,Kandy
Mountains,Kurunegala,"Ravana Falls, Ella",Cool,14,69000,villa,4,Badulla
Lakeside,Mullaitivu,"Gal Oya, Ampara",Moderate,14,35000,guest houses,3,Ampara
Forest,Matale,"Meemure, Kandy",Tropical,7,58000,4-star hotel,5,Kandy
Mountains,Nuwara Eliya,"Demodara Loop, Ella",Cool,8,12000,camping,4,Badulla
Historical,Ratnapura,"Thuparamaya, Anuradhapura",Warm,19,82000,camping,9,Anuradhapura
Wildlife,Mullaitivu,"Wilpattu National Park, Anuradhapura",Warm,16,104000,guest houses,6,Anuradhapura
Wildlife,Nuwara Eliya,"Udawalawe National Park, Ratnapura",Warm,13,25000,4-star hotel,1,Ratnapura
Forest,Badulla,"Knuckles Forest Reserve, Kandy",Tropical,24,224000,cottage,8,Kandy
Mountains,Galle,"Little Adam's Peak, Ella",Cool,1,3000,other,6,Badulla
Forest,Monaragala,"Sinharaja Forest Reserve, Deniyaya",Tropical,14,25000,camping,4,Matara
Beach,Colombo,"Hiriketiya Beach, Dickwella",Warm,15,43000,camping,6,Matara
Forest,Monaragala,"Badulla Forest, Badulla",Tropical,24,111000,other,8,Badulla
Cultural,Batticaloa,"Sigiriya, Sigiriya",Warm,14,86000,other,8,Matale
Wildlife,Colombo,"Lunugamvehera National Park, Hambantota",Warm,1,9000,cottage,7,Hambantota
Lakeside,Gampaha,"Sembuwatta Lake, Matale",Moderate,8,11000,3-star hotel,1,Matale
Historical,Colombo,"Kataragama Temple, Kataragama",Warm,9,36000,villa,3,Hambantota
Cultural,Batticaloa,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,3,4000,camping,3,Colombo
Mountains,Colombo,"Horton Plains National Park, Nuwara Eliya",Cool,18,35000,camping,4,Nuwara Eliya
Mountains,Kalutara,"Demodara Loop, Ella",Cool,7,64000,villa,8,Badulla
Historical,Polonnaruwa,"Yapahuwa Rock Fortress, Yapahuwa",Warm,19,126000,guest houses,8,Kurunegala
Historical,Ampara,"Kataragama Temple, Kataragama",Warm,5,23000,cottage,4,Hambantota
Mountains,Galle,"Demodara Loop, Ella",Cool,12,166000,4-star hotel,9,Badulla
Historical,Kalutara,"Galle Fort, Galle",Warm,9,102000,cottage,8,Galle
Mountains,Jaffna,"Ella Rock, Ella",Cool,6,28000,3-star hotel,4,Badulla
Beach,Kurunegala,"Nilaveli Beach, Trincomalee",Warm,1,4000,camping,7,Trincomalee
Lakeside,Monaragala,"Victoria Reservoir, Kandy",Moderate,3,40000,5-star hotel,6,Kandy
Wildlife,Kilinochchi,"Bundala National Park, Hambantota",Warm,20,72000,camping,7,Hambantota
Cultural,Batticaloa,"Galle Fort, Galle",Warm,21,46000,guest houses,2,Galle
Beach,Matara,"Marble Beach, Trincomalee",Warm,4,65000,5-star hotel,6,Trincomalee
Beach,Jaffna,"Polhena Beach, Matara",Warm,14,201000,4-star hotel,8,Matara
Wildlife,Puttalam,"Wasgamuwa National Park, Matale",Warm,21,28000,other,2,Matale
Cultural,Monaragala,"Mihintale, Anuradhapura",Warm,17,41000,5-star hotel,1,Anuradhapura
Historical,Ampara,"Dambulla Cave Temple, Dambulla",Warm,3,16000,2-star hotel,6,Matale
Historical,Matale,"Mihintale, Anuradhapura",Warm,21,353000,5-star hotel,7,Anuradhapura
Lakeside,Kegalle,"Parakrama Samudraya, Polonnaruwa",Moderate,5,4000,camping,2,Polonnaruwa
Beach,Jaffna,"Polhena Beach, Matara",Warm,14,75000,4-star hotel,3,Matara
Historical,Kurunegala,"Anuradhapura Sacred City, Anuradhapura",Warm,1,9000,guest houses,9,Anuradhapura
Beach,Matale,"Hiriketiya Beach, Dickwella",Warm,23,22000,guest houses,1,Matara
Historical,Ampara,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,21,17000,camping,2,Colombo
Forest,Trincomalee,"Kithulgala Forest Reserve, Kegalle",Tropical,14,35000,guest houses,3,Kegalle
Mountains,Anuradhapura,"Little Adam's Peak, Ella",Cool,3,13000,2-star hotel,6,Badulla
Historical,Badulla,"Temple of the Tooth, Kandy",Moderate,22,89000,other,6,Kandy
Historical,Vavuniya,"Ambuluwawa Temple, Gampola",Moderate,19,17000,camping,2,Kandy
Historical,Kurunegala,"Lovamahapaya, Anuradhapura",Warm,7,134000,5-star hotel,8,Anuradhapura
Historical,Gampaha,"Mihintale, Anuradhapura",Warm,18,17000,2-star hotel,1,Anuradhapura
Lakeside,Colombo,"Victoria Dam, Kandy",Moderate,8,43000,guest houses,6,Kandy
Lakeside,Badulla,"Kantale Lake, Trincomalee",Moderate,6,74000,4-star hotel,8,Trincomalee
Forest,Matale,"Kithulgala Forest Reserve, Kegalle",Tropical,18,45000,3-star hotel,2,Kegalle
Cultural,Gampaha,"Isurumuniya, Anuradhapura",Warm,6,69000,3-star hotel,8,Anuradhapura
Beach,Matara,"Mount Lavinia Beach, Mount Lavinia",Warm,6,16000,other,4,Colombo
Lakeside,Hambantota,"Handapanagala Lake, Wellawaya",Moderate,6,53000,5-star hotel,5,Monaragala
Mountains,Mannar,"Kalupahana, Badulla",Cool,22,127000,3-star hotel,5,Badulla
Wildlife,Kurunegala,"Lunugamvehera National Park, Hambantota",Warm,13,100000,4-star hotel,4,Hambantota
Wildlife,Mullaitivu,"Yala National Park, Hambantota",Warm,22,117000,cottage,4,Hambantota
Lakeside,Hambantota,"Victoria Dam, Kandy",Moderate,1,1000,other,1,Kandy
Lakeside,Ratnapura,"Girithale Wewa, Polonnaruwa",Moderate,11,18000,camping,4,Polonnaruwa
Historical,Galle,"Munneswaram Temple, Chilaw",Warm,19,15000,camping,2,Puttalam
Cultural,Vavuniya,"Isurumuniya, Anuradhapura",Warm,14,17000,cottage,1,Anuradhapura
Cultural,Nuwara Eliya,"Jethawanaramaya, Anuradhapura",Warm,15,76000,other,7,Anuradhapura
Forest,Polonnaruwa,"Hiyare Reservoir, Galle",Tropical,6,17000,guest houses,4,Galle
Cultural,Gampaha,"Yapahuwa Rock Fortress, Yapahuwa",Warm,23,191000,5-star hotel,4,Kurunegala
Forest,Ampara,"Dunhinda Falls, Badulla",Tropical,22,165000,guest houses,9,Badulla
Wildlife,Batticaloa,"Wasgamuwa National Park, Matale",Warm,1,3000,2-star hotel,3,Matale
Forest,Nuwara Eliya,"Sinharaja Forest Reserve, Deniyaya",Tropical,16,115000,guest houses,8,Matara
Cultural,Trincomalee,"Jethawanaramaya, Anuradhapura",Warm,11,238000,5-star hotel,9,Anuradhapura
Beach,Kilinochchi,"Weligama Beach, Weligama",Warm,18,104000,4-star hotel,3,Matara
Beach,Nuwara Eliya,"Jungle Beach, Unawatuna",Warm,11,44000,cottage,3,Galle
Cultural,Kegalle,"Ruwanwelisaya, Anuradhapura",Warm,7,70000,cottage,8,Anuradhapura
Historical,Batticaloa,"Thuparamaya, Anuradhapura",Warm,17,21000,cottage,1,Anuradhapura
Historical,Kandy,"Sigiriya, Sigiriya",Warm,1,20000,5-star hotel,8,Matale
Cultural,Trincomalee,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,17,50000,camping,7,Colombo
Lakeside,Kegalle,"Victoria Reservoir, Kandy",Moderate,2,16000,cottage,7,Kandy
Cultural,Vavuniya,"Thuparamaya, Anuradhapura",Warm,19,41000,other,3,Anuradhapura
Beach,Kalutara,"Tangalle Beach, Tangalle",Warm,14,141000,3-star hotel,7,Hambantota
Forest,Mullaitivu,"Meemure, Kandy",Tropical,18,112000,5-star hotel,3,Kandy
Beach,Vavuniya,"Bentota Beach, Bentota",Warm,12,52000,4-star hotel,2,Kalutara
Mountains,Mullaitivu,"Hunas Falls, Kandy",Cool,9,42000,other,7,Kandy
Forest,Galle,"Knuckles Forest Reserve, Kandy",Tropical,10,134000,5-star hotel,6,Kandy
Mountains,Kalutara,"Knuckles Mountain Range, Matale",Cool,4,17000,guest houses,5,Matale
Cultural,Galle,"Polonnaruwa Ruins, Polonnaruwa",Warm,11,39000,camping,8,Polonnaruwa
Forest,Ratnapura,"Dunhinda Falls, Badulla",Tropical,2,7000,2-star hotel,4,Badulla
Historical,Colombo,"Munneswaram Temple, Chilaw",Warm,6,14000,camping,6,Puttalam
Beach,Ampara,"Weligama Beach, Weligama",Warm,19,137000,5-star hotel,3,Matara
Historical,Polonnaruwa,"Thuparamaya, Anuradhapura",Warm,18,138000,4-star hotel,4,Anuradhapura
Historical,Batticaloa,"Sri Maha Bodhi, Anuradhapura",Warm,12,81000,2-star hotel,7,Anuradhapura
Mountains,Nuwara Eliya,"Demodara Loop, Ella",Cool,5,35000,guest houses,9,Badulla
Beach,Kalutara,"Trincomalee Beach, Trincomalee",Warm,23,34000,cottage,1,Trincomalee
Mountains,Anuradhapura,"Diyatalawa, Badulla",Cool,12,110000,villa,8,Badulla
Lakeside,Monaragala,"Madu River, Balapitiya",Moderate,21,363000,4-star hotel,9,Galle
Cultural,Mullaitivu,"Sri Maha Bodhi, Anuradhapura",Warm,20,29000,3-star hotel,1,Anuradhapura
Beach,Galle,"Negombo Beach, Negombo",Warm,3,48000,4-star hotel,9,Gampaha
Forest,Matale,"Yagirala Forest Reserve, Kalutara",Tropical,16,31000,5-star hotel,1,Kalutara
Wildlife,Vavuniya,"Bundala National Park, Hambantota",Warm,19,204000,3-star hotel,7,Hambantota
Cultural,Nuwara Eliya,"Polonnaruwa Ruins, Polonnaruwa",Warm,21,235000,5-star hotel,5,Polonnaruwa
Lakeside,Trincomalee,"Victoria Reservoir, Kandy",Moderate,12,86000,guest houses,8,Kandy
Forest,Galle,"Makandawa Forest Reserve, Kitulgala",Tropical,16,86000,guest houses,7,Kegalle
Historical,Gampaha,"Mihintale, Anuradhapura",Warm,18,389000,5-star hotel,9,Anuradhapura
Wildlife,Kegalle,"Gal Oya National Park, Ampara",Warm,3,22000,guest houses,7,Ampara
Cultural,Hambantota,"Yapahuwa Rock Fortress, Yapahuwa",Warm,21,44000,camping,5,Kurunegala
Forest,Monaragala,"Meemure, Kandy",Tropical,1,3000,camping,8,Kandy
Wildlife,Kilinochchi,"Pigeon Island National Park, Trincomalee",Warm,13,45000,other,4,Trincomalee
Beach,Nuwara Eliya,"Hiriketiya Beach, Dickwella",Warm,14,181000,3-star hotel,9,Matara
Wildlife,Monaragala,"Kumana National Park, Ampara",Warm,19,92000,villa,3,Ampara
Lakeside,Ampara,"Bolgoda Lake, Colombo",Moderate,7,44000,3-star hotel,5,Colombo
Mountains,Galle,"Nine Arches Bridge, Ella",Cool,6,5000,2-star hotel,1,Badulla
Mountains,Kurunegala,"Ritigala, Ritigala",Warm,7,5000,guest houses,1,Anuradhapura
Mountains,Puttalam,"Pidurangala, Sigiriya",Warm,8,67000,villa,8,Matale
Beach,Kandy,"Passekudah Beach, Passekudah",Warm,21,268000,3-star hotel,7,Batticaloa
Wildlife,Anuradhapura,"Gal Oya National Park, Ampara",Warm,4,55000,villa,9,Ampara
Beach,Kegalle,"Trincomalee Beach, Trincomalee",Warm,14,81000,guest houses,5,Trincomalee
Cultural,Hambantota,"Gangaramaya Temple, Colombo",Warm,10,100000,3-star hotel,8,Colombo
Mountains,Nuwara Eliya,"Demodara Loop, Ella",Cool,13,70000,guest houses,7,Badulla
Mountains,Hambantota,"Knuckles Mountain Range, Matale",Cool,1,7000,guest houses,9,Matale
Lakeside,Matara,"Girithale Wewa, Polonnaruwa",Moderate,18,105000,2-star hotel,7,Polonnaruwa
Forest,Ratnapura,"Yagirala Forest Reserve, Kalutara",Tropical,7,7000,cottage,1,Kalutara
Cultural,Matale,"Anuradhapura Sacred City, Anuradhapura",Warm,16,192000,5-star hotel,5,Anuradhapura
Wildlife,Galle,"Hurulu Eco Park, Polonnaruwa",Warm,13,50000,2-star hotel,4,Polonnaruwa
Forest,Monaragala,"Yagirala Forest Reserve, Kalutara",Tropical,3,18000,guest houses,8,Kalutara
Beach,Kandy,"Passekudah Beach, Passekudah",Warm,24,217000,villa,5,Batticaloa
Mountains,Gampaha,"Pidurangala, Sigiriya",Warm,3,16000,villa,5,Matale
Historical,Mannar,"Isurumuniya, Anuradhapura",Warm,1,8000,2-star hotel,8,Anuradhapura
Historical,Nuwara Eliya,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,12,120000,4-star hotel,6,Colombo
Wildlife,Mullaitivu,"Bundala National Park, Hambantota",Warm,23,276000,cottage,9,Hambantota
Cultural,Colombo,"Anuradhapura Sacred City, Anuradhapura",Warm,9,77000,villa,6,Anuradhapura
Forest,Hambantota,"Hiyare Reservoir, Galle",Tropical,24,177000,3-star hotel,7,Galle
Wildlife,Kandy,"Horton Plains National Park, Nuwara Eliya",Cool,4,6000,other,2,Nuwara Eliya
Wildlife,Vavuniya,"Horton Plains National Park, Nuwara Eliya",Cool,5,6000,cottage,1,Nuwara Eliya
Historical,Trincomalee,"Jethawanaramaya, Anuradhapura",Warm,22,211000,5-star hotel,4,Anuradhapura
Cultural,Galle,"Munneswaram Temple, Chilaw",Warm,4,5000,camping,3,Puttalam
Cultural,Batticaloa,"Abhayagiri Dagaba, Anuradhapura",Warm,12,58000,guest houses,5,Anuradhapura
Mountains,Badulla,"Adam's Peak, Hatton",Cool,13,15000,other,2,Nuwara Eliya
Forest,Gampaha,"Knuckles Forest Reserve, Kandy",Tropical,19,272000,4-star hotel,8,Kandy
Beach,Mannar,"Dickwella Beach, Dickwella",Warm,23,123000,villa,4,Matara
Forest,Batticaloa,"Kanneliya Forest Reserve, Galle",Tropical,15,86000,5-star hotel,3,Galle
Cultural,Polonnaruwa,"Anuradhapura Sacred City, Anuradhapura",Warm,13,100000,guest houses,8,Anuradhapura
Wildlife,Trincomalee,"Lunugamvehera National Park, Hambantota",Warm,10,58000,3-star hotel,4,Hambantota
Wildlife,Trincomalee,"Wilpattu National Park, Anuradhapura",Warm,1,2000,other,3,Anuradhapura
Forest,Ampara,"Knuckles Forest Reserve, Kandy",Tropical,19,255000,5-star hotel,6,Kandy
Beach,Kandy,"Tangalle Beach, Tangalle",Warm,4,10000,cottage,2,Hambantota
Lakeside,Ampara,"Koggala Lake, Koggala",Moderate,9,168000,5-star hotel,9,Galle
Forest,Mannar,"Dunhinda Falls, Badulla",Tropical,18,30000,4-star hotel,1,Badulla
Lakeside,Matara,"Kala Wewa, Anuradhapura",Moderate,6,7000,3-star hotel,1,Anuradhapura
Beach,Monaragala,"Uppuveli Beach, Trincomalee",Warm,8,55000,4-star hotel,3,Trincomalee
Cultural,Matara,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,20,83000,guest houses,5,Colombo
Forest,Colombo,"Sinharaja Forest Reserve, Deniyaya",Tropical,15,101000,5-star hotel,3,Matara
Beach,Anuradhapura,"Rekawa Beach, Hambantota",Warm,18,32000,guest houses,2,Hambantota
Wildlife,Kalutara,"Gal Oya National Park, Ampara",Warm,4,18000,villa,3,Ampara
Wildlife,Hambantota,"Wilpattu National Park, Anuradhapura",Warm,24,522000,5-star hotel,8,Anuradhapura
Cultural,Kegalle,"Kataragama Temple, Kataragama",Warm,18,282000,5-star hotel,7,Hambantota
Forest,Hambantota,"Badulla Forest, Badulla",Tropical,14,145000,3-star hotel,9,Badulla
Cultural,Anuradhapura,"Yapahuwa Rock Fortress, Yapahuwa",Warm,12,52000,other,7,Kurunegala
Wildlife,Mannar,"Gal Oya National Park, Ampara",Warm,11,34000,camping,6,Ampara
Historical,Hambantota,"Yapahuwa Rock Fortress, Yapahuwa",Warm,24,40000,camping,4,Kurunegala
Wildlife,Trincomalee,"Hurulu Eco Park, Polonnaruwa",Warm,7,26000,cottage,3,Polonnaruwa
Lakeside,Mannar,"Victoria Dam, Kandy",Moderate,23,185000,guest houses,9,Kandy
Wildlife,Mannar,"Minneriya National Park, Polonnaruwa",Warm,15,115000,5-star hotel,3,Polonnaruwa
Beach,Badulla,"Negombo Beach, Negombo",Warm,17,68000,villa,3,Gampaha
Wildlife,Puttalam,"Kumana National Park, Ampara",Warm,21,400000,5-star hotel,7,Ampara
Lakeside,Vavuniya,"Sorabora Wewa, Mahiyanganaya",Moderate,12,37000,camping,8,Badulla
Mountains,Matale,"Devon Falls, Nuwara Eliya",Cool,16,86000,2-star hotel,6,Nuwara Eliya
Lakeside,Puttalam,"Parakrama Samudraya, Polonnaruwa",Moderate,4,3000,camping,2,Polonnaruwa
Mountains,Anuradhapura,"Ella Rock, Ella",Cool,1,1000,3-star hotel,1,Badulla
Beach,Ampara,"Rekawa Beach, Hambantota",Warm,7,3000,camping,1,Hambantota
Mountains,Matara,"Kirigalpotta, Nuwara Eliya",Cool,5,10000,2-star hotel,2,Nuwara Eliya
Beach,Nuwara Eliya,"Mirissa Beach, Mirissa",Warm,6,9000,other,2,Matara
Beach,Kalutara,"Trincomalee Beach, Trincomalee",Warm,14,32000,guest houses,2,Trincomalee
Beach,Nuwara Eliya,"Bentota Beach, Bentota",Warm,2,7000,other,4,Kalutara
Beach,Mullaitivu,"Bentota Beach, Bentota",Warm,17,96000,cottage,4,Kalutara
Lakeside,Kandy,"Bolgoda Lake, Colombo",Moderate,9,29000,cottage,3,Colombo
Wildlife,Galle,"Yala National Park, Hambantota",Warm,10,77000,3-star hotel,5,Hambantota
Mountains,Jaffna,"Diyatalawa, Badulla",Cool,3,18000,2-star hotel,8,Badulla
Cultural,Mullaitivu,"Polonnaruwa Ruins, Polonnaruwa",Warm,20,214000,villa,8,Polonnaruwa
Wildlife,Kilinochchi,"Sinharaja Forest Reserve, Galle",Warm,1,7000,5-star hotel,3,Galle
Historical,Kilinochchi,"Isurumuniya, Anuradhapura",Warm,7,3000,camping,1,Anuradhapura
Cultural,Kegalle,"Sri Maha Bodhi, Anuradhapura",Warm,7,121000,4-star hotel,9,Anuradhapura
Historical,Mullaitivu,"Thuparamaya, Anuradhapura",Warm,8,34000,villa,3,Anuradhapura
Lakeside,Galle,"Beira Lake, Colombo",Moderate,19,119000,2-star hotel,7,Colombo
Wildlife,Nuwara Eliya,"Sinharaja Forest Reserve, Galle",Warm,11,59000,villa,4,Galle
Mountains,Galle,"Thotupola Kanda, Nuwara Eliya",Cool,11,53000,guest houses,5,Nuwara Eliya
Forest,Ratnapura,"Makandawa Forest Reserve, Kitulgala",Tropical,15,69000,guest houses,6,Kegalle
Cultural,Gampaha,"Ruwanwelisaya, Anuradhapura",Warm,9,26000,other,4,Anuradhapura
Beach,Monaragala,"Mirissa Beach, Mirissa",Warm,23,59000,5-star hotel,1,Matara
Beach,Kandy,"Hikkaduwa Beach, Hikkaduwa",Warm,6,52000,3-star hotel,6,Galle
Beach,Gampaha,"Dickwella Beach, Dickwella",Warm,19,76000,villa,3,Matara
Beach,Ampara,"Hiriketiya Beach, Dickwella",Warm,10,58000,3-star hotel,4,Matara
Forest,Vavuniya,"Badulla Forest, Badulla",Tropical,14,113000,3-star hotel,7,Badulla
Wildlife,Mannar,"Yala National Park, Hambantota",Warm,4,12000,other,4,Hambantota
Historical,Nuwara Eliya,"Ruwanwelisaya, Anuradhapura",Warm,5,11000,other,3,Anuradhapura
Forest,Monaragala,"Sinharaja Forest Reserve, Deniyaya",Tropical,14,56000,villa,3,Matara
Mountains,Monaragala,"Little Adam's Peak, Ella",Cool,8,127000,5-star hotel,9,Badulla
Wildlife,Colombo,"Pigeon Island National Park, Trincomalee",Warm,22,51000,guest houses,2,Trincomalee
Historical,Kandy,"Galle Fort, Galle",Warm,7,46000,2-star hotel,6,Galle
Lakeside,Batticaloa,"Nuwara Wewa, Anuradhapura",Moderate,1,0,camping,1,Anuradhapura
Beach,Nuwara Eliya,"Weligama Beach, Weligama",Warm,1,4000,camping,9,Matara
Wildlife,Badulla,"Yala National Park, Hambantota",Warm,12,49000,4-star hotel,2,Hambantota
Forest,Trincomalee,"Knuckles Forest Reserve, Kandy",Tropical,18,97000,2-star hotel,6,Kandy
Mountains,Puttalam,"Pidurangala, Sigiriya",Warm,14,79000,guest houses,8,Matale
Wildlife,Hambantota,"Gal Oya National Park, Ampara",Warm,2,5000,5-star hotel,1,Ampara
Forest,Jaffna,"Sinharaja Forest Reserve, Deniyaya",Tropical,5,20000,3-star hotel,3,Matara
Historical,Puttalam,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,1,4000,2-star hotel,5,Colombo
Lakeside,Badulla,"Parakrama Samudraya, Polonnaruwa",Moderate,13,145000,villa,9,Polonnaruwa
Wildlife,Mannar,"Minneriya National Park, Polonnaruwa",Warm,12,96000,cottage,6,Polonnaruwa
Wildlife,Ratnapura,"Horton Plains National Park, Nuwara Eliya",Cool,15,131000,cottage,7,Nuwara Eliya
Lakeside,Kurunegala,"Victoria Reservoir, Kandy",Moderate,2,7000,cottage,3,Kandy
Historical,Matale,"Yapahuwa Rock Fortress, Yapahuwa",Warm,13,113000,villa,7,Kurunegala
Wildlife,Kandy,"Gal Oya National Park, Ampara",Warm,13,186000,4-star hotel,7,Ampara
Beach,Jaffna,"Arugam Bay, Ampara",Warm,6,54000,cottage,6,Ampara
Wildlife,Matara,"Gal Oya National Park, Ampara",Warm,2,21000,cottage,8,Ampara
Mountains,Mannar,"Knuckles Mountain Range, Kandy",Cool,22,92000,guest houses,5,Kandy
Lakeside,Nuwara Eliya,"Randenigala Dam, Kandy",Moderate,17,40000,cottage,2,Kandy
Wildlife,Ampara,"Yala National Park, Hambantota",Warm,9,111000,3-star hotel,8,Hambantota
Mountains,Kurunegala,"Knuckles Mountain Range, Kandy",Cool,11,82000,3-star hotel,6,Kandy
Mountains,Matale,"Adam's Peak, Hatton",Cool,6,24000,other,7,Nuwara Eliya
Wildlife,Ratnapura,"Wasgamuwa National Park, Matale",Warm,24,172000,4-star hotel,4,Matale
Lakeside,Jaffna,"Sorabora Wewa, Mahiyanganaya",Moderate,21,161000,4-star hotel,5,Badulla
Lakeside,Kegalle,"Kandy Lake, Kandy",Moderate,4,38000,5-star hotel,4,Kandy
Forest,Batticaloa,"Yagirala Forest Reserve, Kalutara",Tropical,8,108000,5-star hotel,7,Kalutara
Beach,Kalutara,"Unawatuna Beach, Galle",Warm,6,24000,cottage,3,Galle
Beach,Kandy,"Hikkaduwa Beach, Hikkaduwa",Warm,24,115000,2-star hotel,5,Galle
